user_id,new.cl.w2,new.cl.w3,new.cl.w4,new.cl.w5,new.cl.w6,new.cl.w7,new.cl.w8,new.cl.w9,new.cl.w10,new.cl.w11,new.cl.w12,new.cl.w13
176,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL,A_POS-DIFF
177,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF
178,A_POS-DIFF,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_BAL,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,HA_BAL
180,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,HA_NEG-DIFF_MC,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,HA_NEG-DIFF_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
181,DISENGAGED,A_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,MA_MANY-ACT_BAL_MC,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL
182,A_POS-DIFF,HA_NEG-DIFF_MC,HA_BAL_MC,MA_ALL-ACT_BAL,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
183,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
184,MA_ALL-ACT_BAL,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF,SAS-ONLY_BAL,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
185,MA_ALL-ACT_BAL,HA_NEG-DIFF_MC,HA_BAL_MC,HA_NEG-DIFF_MC,A_POS-DIFF,MA_MANY-ACT_BAL_MC,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL,SAS-ONLY_BAL
186,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_POS-DIFF
187,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
188,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,HA_BAL_MC,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
189,A_POS-DIFF,A_NEG-DIFF,A_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,A_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,A_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,A_POS-DIFF
190,DISENGAGED,SAS-MOSTLY_NEG-DIFF,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,A_POS-DIFF
191,MA_ALL-ACT_BAL,A_NEG-DIFF,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,DISENGAGED,SAS-ONLY_BAL,SAS-ONLY_NEG-DIFF,HA_NEG-DIFF_MC,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL,SAS-ONLY_BAL
192,DISENGAGED,SAS-MOSTLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,DISENGAGED,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,MA_ALL-ACT_BAL,SAS-ONLY_NEG-DIFF,SAS-ONLY_NEG-DIFF,SAS-ONLY_BAL
