user_id,tot_video_cnt,median_video_cnt,mad_video_cnt,days_video_used,prop_video_used,tot_exe_cnt,median_exe_cnt,mad_exe_cnt,days_exe_used,prop_exe_used,tot_mcq_cnt,median_mcq_cnt,mad_mcq_cnt,days_mcq_used,prop_mcq_used,tot_mcog_cnt,median_mcog_cnt,mad_mcog_cnt,days_mcog_used,prop_mcog_used,tot_res_cnt,median_res_cnt,mad_res_cnt,days_res_used,prop_res_used
803,572,0,0,9,0.36,945,19,28.1694,14,0.56,187,0,0,9,0.36,40,0,0,11,0.44,303,10,7.412999999999999,25,1
804,27,0,0,4,0.14285714285714285,645,23,34.099799999999995,18,0.6428571428571429,17,0,0,3,0.10714285714285714,10,0,0,5,0.17857142857142858,278,8,5.9304,28,1
806,59,0,0,4,0.11428571428571428,1205,1,1.4826,20,0.5714285714285714,114,0,0,6,0.17142857142857143,77,0,0,6,0.17142857142857143,583,11,10.3782,34,0.9714285714285714
807,4,0,0,1,0.037037037037037035,1491,53,78.5778,19,0.7037037037037037,18,0,0,1,0.037037037037037035,75,0,0,3,0.1111111111111111,209,4,4.4478,25,0.9259259259259259
808,301,0,0,20,0.47619047619047616,1608,1,1.4826,23,0.5476190476190477,66,0,0,14,0.3333333333333333,3,0,0,2,0.047619047619047616,963,16.5,15.5673,41,0.9761904761904762
810,1740,0,0,11,0.3548387096774194,1278,35,51.891,18,0.5806451612903226,122,0,0,7,0.22580645161290322,21,0,0,6,0.1935483870967742,480,9,8.8956,31,1
811,1545,0,0,10,0.35714285714285715,814,0,0,11,0.39285714285714285,150,0,0,11,0.39285714285714285,18,0,0,5,0.17857142857142858,384,10,10.3782,28,1
813,0,0,0,0,0,1225,0,0,11,0.4782608695652174,0,0,0,0,0,14,0,0,6,0.2608695652173913,174,9,7.412999999999999,23,1
814,88,0,0,2,0.0625,1504,26,38.547599999999996,19,0.59375,17,0,0,2,0.0625,9,0,0,3,0.09375,363,10,9.636899999999999,31,0.96875
816,249,0,0,13,0.40625,818,7,10.3782,18,0.5625,328,0,0,14,0.4375,58,1,1.4826,18,0.5625,406,11.5,11.8608,32,1
818,680,0,0,10,0.24390243902439024,670,0,0,20,0.4878048780487805,159,0,0,9,0.21951219512195122,5,0,0,3,0.07317073170731707,563,11,8.8956,40,0.975609756097561
820,3,0,0,1,0.03225806451612903,876,0,0,14,0.45161290322580644,21,0,0,2,0.06451612903225806,1,0,0,1,0.03225806451612903,315,5,5.9304,31,1
821,1803,0,0,14,0.3333333333333333,906,0,0,20,0.47619047619047616,179,0,0,11,0.2619047619047619,55,0,0,11,0.2619047619047619,357,8,5.1891,42,1
822,8,0,0,2,0.09090909090909091,1201,2,2.9652,12,0.5454545454545454,59,0,0,6,0.2727272727272727,10,0,0,2,0.09090909090909091,489,11,12.6021,22,1
823,64,0,0,2,0.05,1616,0,0,18,0.45,21,0,0,2,0.05,2,0,0,2,0.05,648,11.5,15.5673,40,1
825,187,0,0,8,0.3076923076923077,1144,16.5,24.462899999999998,15,0.5769230769230769,237,0,0,9,0.34615384615384615,27,0,0,6,0.23076923076923078,402,10,11.8608,26,1
826,3,0,0,1,0.02702702702702703,1417,2,2.9652,24,0.6486486486486487,157,0,0,5,0.13513513513513514,35,0,0,6,0.16216216216216217,491,8,8.8956,37,1
827,70,0,0,4,0.125,1299,35,51.891,18,0.5625,118,0,0,10,0.3125,7,0,0,3,0.09375,674,16.5,15.5673,31,0.96875
828,382,0,0,9,0.3,1210,43,63.751799999999996,19,0.6333333333333333,158,0,0,9,0.3,6,0,0,3,0.1,526,14,11.8608,30,1
830,45,0,0,3,0.10714285714285714,1054,17,25.2042,17,0.6071428571428571,114,0,0,4,0.14285714285714285,15,0,0,5,0.17857142857142858,425,10.5,11.8608,28,1
832,670,0,0,4,0.13793103448275862,1246,15,22.238999999999997,17,0.5862068965517241,122,0,0,4,0.13793103448275862,29,0,0,5,0.1724137931034483,624,17,20.7564,29,1
833,153,0,0,6,0.21428571428571427,1011,33.5,48.925799999999995,20,0.7142857142857143,133,0,0,7,0.25,27,0,0,6,0.21428571428571427,234,6,6.6716999999999995,27,0.9642857142857143
834,64,0,0,6,0.23076923076923078,733,0,0,12,0.46153846153846156,71,0,0,6,0.23076923076923078,13,0,0,5,0.19230769230769232,496,12,13.343399999999999,26,1
835,16,0,0,1,0.045454545454545456,1193,35,51.891,14,0.6363636363636364,25,0,0,3,0.13636363636363635,0,0,0,0,0,388,9,10.3782,22,1
837,617,0,0,19,0.4523809523809524,1170,4.5,6.6716999999999995,24,0.5714285714285714,40,0,0,5,0.11904761904761904,2,0,0,2,0.047619047619047616,729,14,15.5673,42,1
839,1166,0,0,11,0.28205128205128205,766,0,0,16,0.41025641025641024,74,0,0,5,0.1282051282051282,0,0,0,0,0,420,8,7.412999999999999,39,1
840,480,0,0,9,0.3103448275862069,824,22,32.6172,18,0.6206896551724138,168,0,0,9,0.3103448275862069,9,0,0,5,0.1724137931034483,613,16,14.825999999999999,28,0.9655172413793104
841,560,0,0,7,0.23333333333333334,1606,41.5,60.0453,23,0.7666666666666667,159,0,0,9,0.3,2,0,0,1,0.03333333333333333,442,9,7.412999999999999,30,1
843,342,0,0,17,0.4857142857142857,677,0,0,17,0.4857142857142857,356,0,0,16,0.45714285714285713,81,0,0,16,0.45714285714285713,385,10,7.412999999999999,35,1
844,0,0,0,0,0,813,0,0,20,0.4444444444444444,171,0,0,9,0.2,1,0,0,1,0.022222222222222223,503,8,7.412999999999999,44,0.9777777777777777
845,178,1.5,2.2239,13,0.5,781,15.5,22.9803,15,0.5769230769230769,210,1,1.4826,13,0.5,37,0,0,12,0.46153846153846156,383,10,8.8956,26,1
847,298,0,0,6,0.21428571428571427,1042,35,51.149699999999996,21,0.75,6,0,0,2,0.07142857142857142,3,0,0,2,0.07142857142857142,603,13,14.0847,28,1
848,374,0,0,15,0.36585365853658536,663,2,2.9652,23,0.5609756097560976,96,0,0,11,0.2682926829268293,16,0,0,8,0.1951219512195122,511,10,7.412999999999999,40,0.975609756097561
849,421,0,0,12,0.3076923076923077,1434,3,4.4478,23,0.5897435897435898,192,0,0,11,0.28205128205128205,6,0,0,1,0.02564102564102564,501,8,7.412999999999999,39,1
850,71,0,0,3,0.10344827586206896,1320,37,54.856199999999994,20,0.6896551724137931,187,0,0,6,0.20689655172413793,53,0,0,5,0.1724137931034483,526,11,14.825999999999999,29,1
851,5,0,0,1,0.03125,1256,31.5,46.701899999999995,20,0.625,2,0,0,1,0.03125,14,0,0,6,0.1875,267,5,5.1891,32,1
